horizon,mse,rmse,mae,mape,mdape,smape,coverage,Location
259200000000000,66520.8078140456,257.916280630063,234.743608755648,0.168580359512106,0.159080628868686,0.186648360725254,0.444444444444444,Astoria
259200000000000,28511.2431953692,168.852726348642,133.023624418189,0.116240841503421,0.0935458587330419,0.113644012555065,0.666666666666667,Hell Kitchen
259200000000000,15715.9132723912,125.363125648618,96.2785649383029,0.0815193003881485,0.0402277551949961,0.0853137588004018,0.777777777777778," Lower Manhattan"
345600000000000,105603.883293042,324.96751113464,271.004755314081,0.183193915920742,0.159080628868686,0.2078688156314,0.444444444444444,Astoria
345600000000000,13861.2588044738,117.733847318746,96.2593648224266,0.0839752240768335,0.0514769968544355,0.0873986209534936,0.777777777777778," Lower Manhattan"
345600000000000,22213.2706921057,149.041171131019,125.648603678313,0.0975596957356275,0.107853513485779,0.101069418223108,0.777777777777778,Hell Kitchen
432000000000000,29041.2014664083,170.414792393173,133.868627041343,0.101199705536183,0.123352644147222,0.10451139551618,0.777777777777778,Hell Kitchen
432000000000000,7692.43764184549,87.7065427539217,74.3606949615697,0.0669407696068442,0.0514769968544355,0.0687960768584562,0.888888888888889," Lower Manhattan"
432000000000000,89058.3705922965,298.426491103415,218.255515712261,0.149345700564465,0.153625144207983,0.168379552803216,0.666666666666667,Astoria
518400000000000,59711.6625887455,244.35969919106,152.060807255163,0.113631999160359,0.0470234358901065,0.121497405196423,0.777777777777778,Astoria
518400000000000,15241.3608828007,123.45590663391,96.0446446156211,0.0833884127834288,0.0797957916933921,0.0863671474895622,0.777777777777778," Lower Manhattan"
518400000000000,39852.4128655854,199.630691191473,163.065415035118,0.125961323811765,0.126992579921299,0.130760213457267,0.777777777777778,Hell Kitchen
604800000000000,50518.0437848167,224.762193851227,195.82942477668,0.146784124031959,0.155071494252686,0.156214486396295,0.555555555555556,Hell Kitchen
604800000000000,30048.0490517423,173.343730927145,133.013238812983,0.114208805201271,0.0913193323396758,0.117164368930469,0.666666666666667," Lower Manhattan"
604800000000000,28725.9019105117,169.487173291998,122.6964843748,0.104064015333747,0.0488897846179507,0.105084439702821,0.888888888888889,Astoria
691200000000000,62082.2526497611,249.163104511405,206.604666609326,0.162834312464285,0.181036534379816,0.175848389498641,0.444444444444444," Lower Manhattan"
691200000000000,49660.4635185652,222.846277775881,171.177743999648,0.131294804168563,0.109369666894793,0.137957273334668,0.777777777777778,Astoria
691200000000000,55421.9968212932,235.418769050586,214.489734223036,0.159639068245683,0.168932830912298,0.172117493823204,0.444444444444444,Hell Kitchen
777600000000000,72177.7113033915,268.659098679705,239.10289832777,0.167482426379806,0.169690136685196,0.186016615878884,0.333333333333333,Hell Kitchen
777600000000000,74713.3962669134,273.337513464423,239.731725240697,0.182891754368316,0.181036534379816,0.200197910712573,0.333333333333333," Lower Manhattan"
777600000000000,46959.7841683903,216.702063138287,165.133941616686,0.121131461988533,0.109369666894793,0.131003571280698,0.777777777777778,Astoria
864000000000000,27206.5933187034,164.944212746927,117.465397937365,0.0860140241099437,0.0620614507252973,0.0924746405531286,0.888888888888889,Astoria
864000000000000,64484.2021775743,253.937398146816,220.725401671472,0.162930893710917,0.152987738589684,0.181595916100744,0.444444444444444," Lower Manhattan"
864000000000000,82501.9585942288,287.231541781589,252.169246758958,0.174685426186795,0.169690136685196,0.194920123588751,0.444444444444444,Hell Kitchen
950400000000000,46304.579920922,215.184989999121,193.712602890174,0.146845164850042,0.152987738589684,0.16052906195822,0.444444444444444," Lower Manhattan"
950400000000000,8162.08991581953,90.3442854629972,70.2634109645957,0.0638527155016148,0.0492490501576902,0.0630335251192073,1,Astoria
950400000000000,82868.7149099306,287.869267046572,249.700364178977,0.17225449425555,0.157203116727164,0.192732649211193,0.555555555555556,Hell Kitchen
1036800000000000,41581.9580958578,203.916546890775,184.30471298134,0.141558146459467,0.152987738589684,0.154098702942529,0.444444444444444," Lower Manhattan"
1036800000000000,23131.5675755808,152.090655779968,107.475186241382,0.110097826478632,0.0709677935449324,0.0995131223676099,0.888888888888889,Astoria
1036800000000000,113012.886771096,336.173893648951,298.405165237244,0.21541309278381,0.209174792829261,0.23216909985204,0.444444444444444,Hell Kitchen
1123200000000000,27948.7020153609,167.178652989432,126.847323601181,0.13118041096494,0.0946511854803832,0.117377371704751,0.888888888888889,Astoria
1123200000000000,164232.113551305,405.255615076837,376.206662286073,0.28718529369331,0.26234497726,0.294843740205288,0.222222222222222,Hell Kitchen
1123200000000000,64075.8836921907,253.132146698499,236.500385244553,0.187075988943924,0.212488443984118,0.198962046782475,0.222222222222222," Lower Manhattan"
1209600000000000,60432.4469284214,245.83011802548,173.430119608867,0.149206545953969,0.0946511854803832,0.145388223919409,0.777777777777778,Astoria
1209600000000000,58531.2564651992,241.932338609784,226.835430968183,0.179747229458353,0.155943751861951,0.189845200933807,0.222222222222222," Lower Manhattan"
1209600000000000,209897.100718746,458.14528341864,424.407445809037,0.313113224656208,0.333682739334206,0.322652234191251,0.111111111111111,Hell Kitchen
1296000000000000,55614.1557410561,235.826537397843,202.152759895681,0.161343623162852,0.144291708833315,0.171303701085792,0.333333333333333," Lower Manhattan"
1296000000000000,163061.883279812,403.809216437432,348.500604905285,0.261575885998093,0.236254986918772,0.266771155030563,0.222222222222222,Hell Kitchen
1296000000000000,105098.097543018,324.188367377699,228.909008832965,0.152441372798522,0.0946511854803832,0.17077033171912,0.666666666666667,Astoria
1382400000000000,93537.8719550074,305.839618027173,235.605662650403,0.173367118186988,0.193051485563529,0.180330296685471,0.555555555555556,Hell Kitchen
